pos,player,name,id,categorie
D,Jakob Chychrun,Grillades,1,bons
D,Morgan Rielly,Grillades,1,bons
F,Aleksander Barkov,Grillades,1,bons
F,Jack Eichel,Grillades,1,bons
F,Tomas Hertl,Grillades,1,bons
F,Nikita Kucherov,Grillades,1,bons
F,Robert Thomas,Grillades,1,bons
F,Andrei Kuzmenko,Grillades,1,bons
G,Mackenzie Blackwood,Grillades,1,bons
G,Jake Oettinger,Grillades,1,bons
D,Drew Doughty,Chronomètres,2,bons
D,Josh Morrissey,Chronomètres,2,bons
F,Matt Boldy,Chronomètres,2,bons
F,Jesper Bratt,Chronomètres,2,bons
F,Pavel Buchnevich,Chronomètres,2,bons
F,Matt Duchene,Chronomètres,2,bons
F,Adrian Kempe,Chronomètres,2,bons
F,Tim Stützle,Chronomètres,2,bons
G,Darcy Kuemper,Chronomètres,2,bons
G,Stuart Skinner,Chronomètres,2,bons
D,Luke Hughes,Cyrano,3,bons
D,Cale Makar,Cyrano,3,bons
D,Alex Pietrangelo,Cyrano,3,bons
D,Jake Sanderson,Cyrano,3,bons
F,Kyle Connor,Cyrano,3,bons
F,Nathan MacKinnon,Cyrano,3,bons
F,Martin Necas,Cyrano,3,bons
F,Mackie Samoskevich,Cyrano,3,bons
G,Anthony Stolarz,Cyrano,3,bons
G,Andrei Vasilevskiy,Cyrano,3,bons
D,Devon Toews,Rednecks,4,bons
F,Sebastian Aho,Rednecks,4,bons
F,Sam Bennett,Rednecks,4,bons
F,Brad Marchand,Rednecks,4,bons
F,Mitch Marner,Rednecks,4,bons
F,Alex Ovechkin,Rednecks,4,bons
F,Mark Stone,Rednecks,4,bons
F,Tyler Seguin,Rednecks,4,bons
G,Filip Gustavsson,Rednecks,4,bons
G,Jacob Markstrom,Rednecks,4,bons
D,Victor Hedman,Moisonneurs,5,bons
F,Drake Batherson,Moisonneurs,5,bons
F,Kevin Fiala,Moisonneurs,5,bons
F,Roope Hintz,Moisonneurs,5,bons
F,Auston Matthews,Moisonneurs,5,bons
F,Mark Scheifele,Moisonneurs,5,bons
F,Tom Wilson,Moisonneurs,5,bons
F,Brock Nelson,Moisonneurs,5,bons
F,Matthew Tkachuk,Moisonneurs,5,bons
G,Sergei Bobrovsky,Moisonneurs,5,bons
D,Evan Bouchard,Perchaudes,6,bons
D,Dougie Hamilton,Perchaudes,6,bons
F,Connor McDavid,Perchaudes,6,bons
F,Nico Hischier,Perchaudes,6,bons
F,Cole Caufield,Perchaudes,6,bons
F,Jordan Kyrou,Perchaudes,6,bons
F,Mason Marchment,Perchaudes,6,bons
F,William Karlsson,Perchaudes,6,bons
G,Connor Hellebuyck,Perchaudes,6,bons
G,Adin Hill,Perchaudes,6,bons
F,Leon Draisaitl,Dentiers,7,bons
F,Anze Kopitar,Dentiers,7,bons
F,Valeri Nichushkin,Dentiers,7,bons
F,William Nylander,Dentiers,7,bons
F,John Tavares,Dentiers,7,bons
F,Mats Zuccarello,Dentiers,7,bons
D,Shayne Gostisbehere,Dentiers,7,bons
D,Shea Theodore,Dentiers,7,bons
F,Ryan Nugent-Hopkins,Dentiers,7,bons
G,Linus Ullmark,Dentiers,7,bons
F,Ivan Barbashev,Percé,8,bons
F,Brandon Hagel,Percé,8,bons
F,Wyatt Johnston,Percé,8,bons
F,Mikko Rantanen,Percé,8,bons
F,Dylan Strome,Percé,8,bons
F,Brady Tkachuk,Percé,8,bons
F,Carter Verhaeghe,Percé,8,bons
D,Darren Raddysh,Percé,8,bons
D,Rasmus Sandin,Percé,8,bons
F,Anton Lundell,Percé,8,bons
F,Pavel Dorofeyev,Skip-Bo,9,poches
F,Claude Giroux,Skip-Bo,9,poches
F,Patrik Laine,Skip-Bo,9,poches
F,Connor McMichael,Skip-Bo,9,poches
F,Brayden Point,Skip-Bo,9,poches
F,Juraj Slafkovský,Skip-Bo,9,poches
D,Noah Hanifin,Skip-Bo,9,poches
D,Neal Pionk,Skip-Bo,9,poches
F,Joel Eriksson Ek,Skip-Bo,9,poches
G,Charlie Lindgren,Skip-Bo,9,poches
F,Quinton Byfield,Conservateurs,10,poches
F,Jake Guentzel,Conservateurs,10,poches
F,Seth Jarvis,Conservateurs,10,poches
F,Matthew Knies,Conservateurs,10,poches
F,Artturi Lehkonen,Conservateurs,10,poches
F,Cole Perfetti,Conservateurs,10,poches
F,Marco Rossi,Conservateurs,10,poches
D,Thomas Harley,Conservateurs,10,poches
D,Lane Hutson,Conservateurs,10,poches
G,Frederik Andersen,Conservateurs,10,poches
F,Viktor Arvidsson,Lapins,11,poches
F,Jonathan Drouin,Lapins,11,poches
F,Pierre-Luc Dubois,Lapins,11,poches
F,Sam Reinhart,Lapins,11,poches
F,Nick Suzuki,Lapins,11,poches
F,Gabriel Vilardi,Lapins,11,poches
F,Ivan Demidov,Lapins,11,poches
F,Kirill Kaprizov,Lapins,11,poches
D,Dylan DeMelo,Lapins,11,poches
